,timestamp,asset,volumeUSD,datetime
423,1672444800000,btc,3530982564.1829715,2022-12-31 08:00:00
426,1672444800000,eth,732213299.2413794,2022-12-31 08:00:00
424,1672444800000,doge,134294435.829389,2022-12-31 08:00:00
430,1672444800000,sol,133813128.6640368,2022-12-31 08:00:00
427,1672444800000,ltc,111571882.6451432,2022-12-31 08:00:00
433,1672444800000,xrp,99746395.06276971,2022-12-31 08:00:00
422,1672444800000,bnb,80669566.65966012,2022-12-31 08:00:00
420,1672444800000,ada,60754677.29440292,2022-12-31 08:00:00
428,1672444800000,matic,42794021.980787024,2022-12-31 08:00:00
431,1672444800000,trx,27751594.04419919,2022-12-31 08:00:00
429,1672444800000,shib,22988234.154182,2022-12-31 08:00:00
425,1672444800000,dot,22484906.897970106,2022-12-31 08:00:00
421,1672444800000,avax,19497875.60725479,2022-12-31 08:00:00
432,1672444800000,uni,12091512.600408291,2022-12-31 08:00:00
409,1672358400000,btc,5656530676.561096,2022-12-30 08:00:00
412,1672358400000,eth,1288350972.9367082,2022-12-30 08:00:00
416,1672358400000,sol,446987581.96382606,2022-12-30 08:00:00
419,1672358400000,xrp,241503644.6607344,2022-12-30 08:00:00
410,1672358400000,doge,205867848.56727955,2022-12-30 08:00:00
414,1672358400000,matic,100868346.8306135,2022-12-30 08:00:00
408,1672358400000,bnb,92651117.98627728,2022-12-30 08:00:00
413,1672358400000,ltc,90519027.2760372,2022-12-30 08:00:00
406,1672358400000,ada,69145618.2803929,2022-12-30 08:00:00
415,1672358400000,shib,42099403.54156445,2022-12-30 08:00:00
407,1672358400000,avax,40264484.35725958,2022-12-30 08:00:00
417,1672358400000,trx,38575130.089162886,2022-12-30 08:00:00
411,1672358400000,dot,27610926.365281,2022-12-30 08:00:00
418,1672358400000,uni,15438928.021136362,2022-12-30 08:00:00
395,1672272000000,btc,5048431043.788206,2022-12-29 08:00:00
398,1672272000000,eth,1280441789.4074626,2022-12-29 08:00:00
402,1672272000000,sol,409517607.97857356,2022-12-29 08:00:00
405,1672272000000,xrp,333398066.9040128,2022-12-29 08:00:00
396,1672272000000,doge,130628361.53169578,2022-12-29 08:00:00
394,1672272000000,bnb,102414253.77600624,2022-12-29 08:00:00
392,1672272000000,ada,94101611.70095679,2022-12-29 08:00:00
399,1672272000000,ltc,93178182.53091449,2022-12-29 08:00:00
400,1672272000000,matic,73728369.0180628,2022-12-29 08:00:00
401,1672272000000,shib,70895566.38137902,2022-12-29 08:00:00
393,1672272000000,avax,39586336.07056246,2022-12-29 08:00:00
403,1672272000000,trx,38218470.80504119,2022-12-29 08:00:00
397,1672272000000,dot,31033791.920920573,2022-12-29 08:00:00
404,1672272000000,uni,17901629.26594871,2022-12-29 08:00:00
381,1672185600000,btc,6309547588.446745,2022-12-28 08:00:00
384,1672185600000,eth,1799021479.644825,2022-12-28 08:00:00
391,1672185600000,xrp,313840431.67718136,2022-12-28 08:00:00
388,1672185600000,sol,262889466.81891862,2022-12-28 08:00:00
382,1672185600000,doge,255692982.01904526,2022-12-28 08:00:00
385,1672185600000,ltc,134848117.72511196,2022-12-28 08:00:00
380,1672185600000,bnb,127263778.2737883,2022-12-28 08:00:00
378,1672185600000,ada,95515272.64880814,2022-12-28 08:00:00
