,exchange,timestamp,originalQuantity,price,side,status,type,timeInForce,action,orderId,unit,positionType,datetime,pair
0,binance,1669831051256,0.040999999999999995,16854.2,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 01:57:31.256,BTCUSDT
1,binance,1669831499743,0.003,16715.94,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:04:59.743,BTCUSDT
2,binance,1669831539525,0.268,16695.36,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:05:39.525,BTCUSDT
3,binance,1669831543381,2.37,16687.36,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:05:43.381,BTCUSDT
4,binance,1669831694610,0.8590000000000001,16686.94,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:08:14.610,BTCUSDT
5,binance,1669832994686,0.93,16678.13,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:29:54.686,BTCUSDT
6,binance,1669833007484,0.649,16651.2,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:30:07.484,BTCUSDT
7,binance,1669833008553,0.7390000000000001,16648.07,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:30:08.553,BTCUSDT
8,binance,1669833009571,5.0,16634.84,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:30:09.571,BTCUSDT
9,binance,1669833022422,0.21899999999999997,16839.22,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:22.422,BTCUSDT
10,binance,1669833024486,0.013999999999999999,16860.04,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:24.486,BTCUSDT
11,binance,1669833025850,0.337,16867.89,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:25.850,BTCUSDT
12,binance,1669833026874,0.7,16876.56,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:26.874,BTCUSDT
13,binance,1669833027984,0.002,16880.31,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:27.984,BTCUSDT
14,binance,1669833029032,0.45299999999999996,16889.16,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:29.032,BTCUSDT
15,binance,1669833030045,0.016,16893.42,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:30.045,BTCUSDT
16,binance,1669833040200,0.053,16906.01,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:40.200,BTCUSDT
17,binance,1669833041257,0.293,16907.21,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:41.257,BTCUSDT
18,binance,1669833042472,0.019,16910.47,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:42.472,BTCUSDT
19,binance,1669833043510,1.204,16914.15,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:43.510,BTCUSDT
20,binance,1669833044542,0.049,16921.16,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:44.542,BTCUSDT
21,binance,1669833045634,0.034,16924.93,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:30:45.634,BTCUSDT
22,binance,1669833062759,0.043,16916.7,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:31:02.759,BTCUSDT
23,binance,1669833104181,0.002,16928.21,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:31:44.181,BTCUSDT
24,binance,1669833458151,0.002,16360.22,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:37:38.151,BTCUSDT
25,binance,1669833511681,0.285,16924.52,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:31.681,BTCUSDT
26,binance,1669833512808,0.07200000000000001,16934.61,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:32.808,BTCUSDT
27,binance,1669833514259,0.237,16942.66,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:34.259,BTCUSDT
28,binance,1669833515297,0.047,16943.7,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:35.297,BTCUSDT
29,binance,1669833516457,0.040999999999999995,16945.81,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:36.457,BTCUSDT
30,binance,1669833517490,0.005,16957.27,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:37.490,BTCUSDT
31,binance,1669833518611,0.016,16959.85,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:38.611,BTCUSDT
32,binance,1669833531083,0.212,16962.75,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:51.083,BTCUSDT
33,binance,1669833533340,0.003,16968.32,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:53.340,BTCUSDT
34,binance,1669833534354,0.023,16969.18,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:54.354,BTCUSDT
35,binance,1669833535358,0.003,17007.67,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:55.358,BTCUSDT
36,binance,1669833538302,0.054000000000000006,17017.19,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:58.302,BTCUSDT
37,binance,1669833539305,0.006,17018.68,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:38:59.305,BTCUSDT
38,binance,1669833541683,1.1640000000000001,17024.65,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:39:01.683,BTCUSDT
39,binance,1669833543100,0.011000000000000001,17028.29,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:39:03.100,BTCUSDT
40,binance,1669833546086,0.125,17038.1,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:39:06.086,BTCUSDT
41,binance,1669833547606,0.006999999999999999,17026.5,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:39:07.606,BTCUSDT
42,binance,1669833647480,0.309,16834.78,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:40:47.480,BTCUSDT
43,binance,1669833684653,0.037000000000000005,16826.28,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:41:24.653,BTCUSDT
44,binance,1669833688564,0.066,16819.75,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:41:28.564,BTCUSDT
45,binance,1669833692447,0.013999999999999999,16810.43,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:41:32.447,BTCUSDT
46,binance,1669833723470,0.001,16805.1,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:42:03.470,BTCUSDT
47,binance,1669833767931,0.013999999999999999,16801.92,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:42:47.931,BTCUSDT
48,binance,1669833769322,0.033,16794.99,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:42:49.322,BTCUSDT
49,binance,1669833770374,0.025,16792.28,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:42:50.374,BTCUSDT
50,binance,1669833773820,0.013000000000000001,16791.9,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:42:53.820,BTCUSDT
51,binance,1669833796076,0.009000000000000001,16788.33,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:16.076,BTCUSDT
52,binance,1669833797223,0.16699999999999998,16785.36,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:17.223,BTCUSDT
53,binance,1669833802716,0.067,16782.32,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:22.716,BTCUSDT
54,binance,1669833804638,0.081,16780.89,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:24.638,BTCUSDT
55,binance,1669833805709,0.054000000000000006,16779.2,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:25.709,BTCUSDT
56,binance,1669833808088,0.002,16777.7,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:28.088,BTCUSDT
57,binance,1669833810093,0.78,16772.87,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:30.093,BTCUSDT
58,binance,1669833817327,0.289,16771.97,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:37.327,BTCUSDT
59,binance,1669833818588,0.003,16771.12,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:43:38.588,BTCUSDT
60,binance,1669833997136,0.035,16769.36,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:46:37.136,BTCUSDT
61,binance,1669834001525,0.79,16760.7,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 02:46:41.525,BTCUSDT
62,binance,1669834134297,0.013999999999999999,16959.72,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:48:54.297,BTCUSDT
63,binance,1669834137271,0.047,16975.38,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:48:57.271,BTCUSDT
64,binance,1669834165496,0.057999999999999996,16977.95,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:49:25.496,BTCUSDT
65,binance,1669834167168,0.033,16979.26,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:49:27.168,BTCUSDT
66,binance,1669834172192,0.008,16982.49,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:49:32.192,BTCUSDT
67,binance,1669834173257,0.39899999999999997,16983.52,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:49:33.257,BTCUSDT
68,binance,1669834174269,0.377,16988.92,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:49:34.269,BTCUSDT
69,binance,1669834664146,0.021,16993.81,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:57:44.146,BTCUSDT
70,binance,1669834666318,0.237,16995.7,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:57:46.318,BTCUSDT
71,binance,1669834667504,0.14800000000000002,16998.61,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:57:47.504,BTCUSDT
72,binance,1669834668782,0.239,17000.98,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:57:48.782,BTCUSDT
73,binance,1669834705151,0.146,17002.27,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:58:25.151,BTCUSDT
74,binance,1669834706586,0.006999999999999999,17006.46,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 02:58:26.586,BTCUSDT
75,binance,1669834859501,0.013000000000000001,17007.28,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:00:59.501,BTCUSDT
76,binance,1669834861889,0.002,17008.11,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:01:01.889,BTCUSDT
77,binance,1669834863113,0.003,17014.24,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:01:03.113,BTCUSDT
78,binance,1669834864365,0.02,17016.75,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:01:04.365,BTCUSDT
79,binance,1669834965853,0.155,17016.82,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:02:45.853,BTCUSDT
80,binance,1669834969121,0.028999999999999998,17019.16,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:02:49.121,BTCUSDT
81,binance,1669834971885,0.002,17030.05,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:02:51.885,BTCUSDT
82,binance,1669834993429,0.05,17031.15,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:13.429,BTCUSDT
83,binance,1669834999058,1.183,17032.17,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:19.058,BTCUSDT
84,binance,1669835000332,0.019,17033.72,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:20.332,BTCUSDT
85,binance,1669835001934,0.105,17035.79,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:21.934,BTCUSDT
86,binance,1669835004349,0.035,17037.5,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:24.349,BTCUSDT
87,binance,1669835006301,1.104,17038.37,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:26.301,BTCUSDT
88,binance,1669835007661,0.01,17040.63,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:27.661,BTCUSDT
89,binance,1669835010170,0.514,17040.79,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:03:30.170,BTCUSDT
90,binance,1669835052246,0.034,17042.48,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:12.246,BTCUSDT
91,binance,1669835054094,0.042,17044.2,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:14.094,BTCUSDT
92,binance,1669835055205,0.004,17045.01,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:15.205,BTCUSDT
93,binance,1669835067522,0.013999999999999999,17045.5,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:27.522,BTCUSDT
94,binance,1669835068807,0.059000000000000004,17045.62,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:28.807,BTCUSDT
95,binance,1669835074223,0.033,17047.71,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:34.223,BTCUSDT
96,binance,1669835075243,0.02,17049.46,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:35.243,BTCUSDT
97,binance,1669835076263,14.874,17069.13,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:36.263,BTCUSDT
98,binance,1669835077302,0.121,17057.64,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:37.302,BTCUSDT
99,binance,1669835083124,0.002,17062.92,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:04:43.124,BTCUSDT
