,exchange,timestamp,ratio,longAccount,shortAccount,period,datetime,pair
0,binance,1669824000000,1.3397,0.5726,0.4274,1,2022-12-01 00:00:00,BTCUSDT
1,binance,1669827600000,1.3359,0.5719,0.4281,1,2022-12-01 01:00:00,BTCUSDT
2,binance,1669831200000,1.368,0.5777,0.4223,1,2022-12-01 02:00:00,BTCUSDT
3,binance,1669834800000,1.3952,0.5825,0.4175,1,2022-12-01 03:00:00,BTCUSDT
4,binance,1669838400000,1.2973,0.5647,0.4353,1,2022-12-01 04:00:00,BTCUSDT
5,binance,1669842000000,1.264,0.5583,0.4417,1,2022-12-01 05:00:00,BTCUSDT
6,binance,1669845600000,1.2492,0.5554,0.4446,1,2022-12-01 06:00:00,BTCUSDT
7,binance,1669849200000,1.3036,0.5659,0.4341,1,2022-12-01 07:00:00,BTCUSDT
8,binance,1669852800000,1.2497,0.5555,0.4445,1,2022-12-01 08:00:00,BTCUSDT
9,binance,1669856400000,1.1805,0.5414,0.4586,1,2022-12-01 09:00:00,BTCUSDT
10,binance,1669860000000,1.1236,0.5291,0.4709,1,2022-12-01 10:00:00,BTCUSDT
11,binance,1669863600000,1.1004,0.5239,0.4761,1,2022-12-01 11:00:00,BTCUSDT
12,binance,1669867200000,1.0969,0.5231,0.4769,1,2022-12-01 12:00:00,BTCUSDT
13,binance,1669870800000,1.073,0.5176,0.4824,1,2022-12-01 13:00:00,BTCUSDT
14,binance,1669874400000,1.0542,0.5132,0.4868,1,2022-12-01 14:00:00,BTCUSDT
15,binance,1669878000000,1.0421,0.5103,0.4897,1,2022-12-01 15:00:00,BTCUSDT
16,binance,1669881600000,1.0321,0.5079,0.4921,1,2022-12-01 16:00:00,BTCUSDT
17,binance,1669885200000,1.0504,0.5123,0.4877,1,2022-12-01 17:00:00,BTCUSDT
18,binance,1669888800000,1.0462,0.5113,0.4887,1,2022-12-01 18:00:00,BTCUSDT
19,binance,1669892400000,1.053,0.5129,0.4871,1,2022-12-01 19:00:00,BTCUSDT
20,binance,1669896000000,1.0751,0.5181,0.4819,1,2022-12-01 20:00:00,BTCUSDT
21,binance,1669899600000,1.0942,0.5225,0.4775,1,2022-12-01 21:00:00,BTCUSDT
22,binance,1669903200000,1.1377,0.5322,0.4678,1,2022-12-01 22:00:00,BTCUSDT
23,binance,1669906800000,1.1272,0.5299,0.4701,1,2022-12-01 23:00:00,BTCUSDT
24,binance,1669824000000,0.9577,0.4892,0.5108,1,2022-12-01 00:00:00,ETHUSDT
25,binance,1669827600000,0.9399,0.4845,0.5155,1,2022-12-01 01:00:00,ETHUSDT
26,binance,1669831200000,0.9543,0.4883,0.5117,1,2022-12-01 02:00:00,ETHUSDT
27,binance,1669834800000,0.9478,0.4866,0.5134,1,2022-12-01 03:00:00,ETHUSDT
28,binance,1669838400000,0.9186,0.4788,0.5212,1,2022-12-01 04:00:00,ETHUSDT
29,binance,1669842000000,0.9029,0.4745,0.5255,1,2022-12-01 05:00:00,ETHUSDT
30,binance,1669845600000,0.8847,0.4694,0.5306,1,2022-12-01 06:00:00,ETHUSDT
31,binance,1669849200000,0.8979,0.4731,0.5269,1,2022-12-01 07:00:00,ETHUSDT
32,binance,1669852800000,0.8868,0.47,0.53,1,2022-12-01 08:00:00,ETHUSDT
33,binance,1669856400000,0.8737,0.4663,0.5337,1,2022-12-01 09:00:00,ETHUSDT
34,binance,1669860000000,0.8695,0.4651,0.5349,1,2022-12-01 10:00:00,ETHUSDT
35,binance,1669863600000,0.873,0.4661,0.5339,1,2022-12-01 11:00:00,ETHUSDT
36,binance,1669867200000,0.8822,0.4687,0.5313,1,2022-12-01 12:00:00,ETHUSDT
37,binance,1669870800000,0.8801,0.4681,0.5319,1,2022-12-01 13:00:00,ETHUSDT
38,binance,1669874400000,0.8797,0.46799999999999997,0.532,1,2022-12-01 14:00:00,ETHUSDT
39,binance,1669878000000,0.8929,0.4717,0.5283,1,2022-12-01 15:00:00,ETHUSDT
40,binance,1669881600000,0.8939,0.47200000000000003,0.528,1,2022-12-01 16:00:00,ETHUSDT
41,binance,1669885200000,0.904,0.4748,0.5252,1,2022-12-01 17:00:00,ETHUSDT
42,binance,1669888800000,0.9186,0.4788,0.5212,1,2022-12-01 18:00:00,ETHUSDT
43,binance,1669892400000,0.9201,0.4792,0.5208,1,2022-12-01 19:00:00,ETHUSDT
44,binance,1669896000000,0.9384,0.4841,0.5159,1,2022-12-01 20:00:00,ETHUSDT
45,binance,1669899600000,0.9414,0.4849,0.5151,1,2022-12-01 21:00:00,ETHUSDT
46,binance,1669903200000,0.9283,0.4814,0.5186,1,2022-12-01 22:00:00,ETHUSDT
47,binance,1669906800000,0.9309,0.4821,0.5179,1,2022-12-01 23:00:00,ETHUSDT
