,exchange,timestamp,fundingInterval,fundingRate,nextFundingRate,nextFundingTime,pair,datetime
0,binance,1669831200000,,-1.648e-05,,1669852800000,BTCUSD_PERP,2022-12-01 02:00:00
1,binance,1669834800000,,-2.434e-05,,1669852800000,BTCUSD_PERP,2022-12-01 03:00:00
2,binance,1669838400000,,-2.176e-05,,1669852800000,BTCUSD_PERP,2022-12-01 04:00:00
3,binance,1669842000000,,-4.303e-05,,1669852800000,BTCUSD_PERP,2022-12-01 05:00:00
4,binance,1669845600000,,-3.193e-05,,1669852800000,BTCUSD_PERP,2022-12-01 06:00:00
5,binance,1669849200000,,-4.712e-05,,1669852800000,BTCUSD_PERP,2022-12-01 07:00:00
6,binance,1669852800000,,-4.573e-05,,1669852800000,BTCUSD_PERP,2022-12-01 08:00:00
7,binance,1669856400000,,-5.36e-05,,1669881600000,BTCUSD_PERP,2022-12-01 09:00:00
8,binance,1669860000000,,-9.158e-05,,1669881600000,BTCUSD_PERP,2022-12-01 10:00:00
9,binance,1669863600000,,-0.00011538,,1669881600000,BTCUSD_PERP,2022-12-01 11:00:00
10,binance,1669867200000,,-0.00011401,,1669881600000,BTCUSD_PERP,2022-12-01 12:00:00
11,binance,1669870800000,,-0.00012345,,1669881600000,BTCUSD_PERP,2022-12-01 13:00:00
12,binance,1669874400000,,-0.00011906,,1669881600000,BTCUSD_PERP,2022-12-01 14:00:00
13,binance,1669878000000,,-8.51e-05,,1669881600000,BTCUSD_PERP,2022-12-01 15:00:00
14,binance,1669881600000,,-4.39e-05,,1669881600000,BTCUSD_PERP,2022-12-01 16:00:00
15,binance,1669885200000,,2.132e-05,,1669910400000,BTCUSD_PERP,2022-12-01 17:00:00
16,binance,1669888800000,,4.854e-05,,1669910400000,BTCUSD_PERP,2022-12-01 18:00:00
17,binance,1669892400000,,5.108e-05,,1669910400000,BTCUSD_PERP,2022-12-01 19:00:00
18,binance,1669896000000,,5.5700000000000005e-05,,1669910400000,BTCUSD_PERP,2022-12-01 20:00:00
19,binance,1669899600000,,4.8100000000000004e-05,,1669910400000,BTCUSD_PERP,2022-12-01 21:00:00
20,binance,1669903200000,,3.935e-05,,1669910400000,BTCUSD_PERP,2022-12-01 22:00:00
21,binance,1669906800000,,5.218e-05,,1669910400000,BTCUSD_PERP,2022-12-01 23:00:00
22,binance,1669910400000,,4.054e-05,,1669910400000,BTCUSD_PERP,2022-12-02 00:00:00
23,binance,1669914000000,,3.506e-05,,1669939200000,BTCUSD_PERP,2022-12-02 01:00:00
24,binance,1669917600000,,4.351e-05,,1669939200000,BTCUSD_PERP,2022-12-02 02:00:00
25,binance,1669921200000,,7.555e-05,,1669939200000,BTCUSD_PERP,2022-12-02 03:00:00
26,binance,1669924800000,,0.0001,,1669939200000,BTCUSD_PERP,2022-12-02 04:00:00
27,binance,1669928400000,,0.0001,,1669939200000,BTCUSD_PERP,2022-12-02 05:00:00
28,binance,1669932000000,,0.0001,,1669939200000,BTCUSD_PERP,2022-12-02 06:00:00
29,binance,1669935600000,,0.0001,,1669939200000,BTCUSD_PERP,2022-12-02 07:00:00
30,binance,1669939200000,,2.732e-05,,1669939200000,BTCUSD_PERP,2022-12-02 08:00:00
31,binance,1669942800000,,-1.62e-05,,1669968000000,BTCUSD_PERP,2022-12-02 09:00:00
32,binance,1669946400000,,-9.507e-05,,1669968000000,BTCUSD_PERP,2022-12-02 10:00:00
33,binance,1669950000000,,-9.091e-05,,1669968000000,BTCUSD_PERP,2022-12-02 11:00:00
34,binance,1669953600000,,-9.83e-05,,1669968000000,BTCUSD_PERP,2022-12-02 12:00:00
35,binance,1669957200000,,-6.897e-05,,1669968000000,BTCUSD_PERP,2022-12-02 13:00:00
36,binance,1669960800000,,-4.074e-05,,1669968000000,BTCUSD_PERP,2022-12-02 14:00:00
37,binance,1669964400000,,-3.621e-05,,1669968000000,BTCUSD_PERP,2022-12-02 15:00:00
38,binance,1669968000000,,-3.548e-05,,1669968000000,BTCUSD_PERP,2022-12-02 16:00:00
39,binance,1669971600000,,-3.43e-05,,1669996800000,BTCUSD_PERP,2022-12-02 17:00:00
40,binance,1669975200000,,-3.401e-05,,1669996800000,BTCUSD_PERP,2022-12-02 18:00:00
41,binance,1669978800000,,-4.415e-05,,1669996800000,BTCUSD_PERP,2022-12-02 19:00:00
42,binance,1669982400000,,-4.883e-05,,1669996800000,BTCUSD_PERP,2022-12-02 20:00:00
43,binance,1669986000000,,-7.031e-05,,1669996800000,BTCUSD_PERP,2022-12-02 21:00:00
44,binance,1669989600000,,-7.766e-05,,1669996800000,BTCUSD_PERP,2022-12-02 22:00:00
45,binance,1669993200000,,-6.391e-05,,1669996800000,BTCUSD_PERP,2022-12-02 23:00:00
46,binance,1669996800000,,-3.924e-05,,1669996800000,BTCUSD_PERP,2022-12-03 00:00:00
47,binance,1670000400000,,-2.499e-05,,1670025600000,BTCUSD_PERP,2022-12-03 01:00:00
48,binance,1670004000000,,-4.22e-06,,1670025600000,BTCUSD_PERP,2022-12-03 02:00:00
49,binance,1670007600000,,2.472e-05,,1670025600000,BTCUSD_PERP,2022-12-03 03:00:00
50,binance,1670011200000,,4.267e-05,,1670025600000,BTCUSD_PERP,2022-12-03 04:00:00
51,binance,1670014800000,,4.666e-05,,1670025600000,BTCUSD_PERP,2022-12-03 05:00:00
52,binance,1670018400000,,2.203e-05,,1670025600000,BTCUSD_PERP,2022-12-03 06:00:00
53,binance,1670022000000,,6.81e-06,,1670025600000,BTCUSD_PERP,2022-12-03 07:00:00
54,binance,1670025600000,,8.71e-06,,1670025600000,BTCUSD_PERP,2022-12-03 08:00:00
55,binance,1670029200000,,-1.649e-05,,1670054400000,BTCUSD_PERP,2022-12-03 09:00:00
56,binance,1670032800000,,-3.798e-05,,1670054400000,BTCUSD_PERP,2022-12-03 10:00:00
57,binance,1670036400000,,-5.419e-05,,1670054400000,BTCUSD_PERP,2022-12-03 11:00:00
58,binance,1670040000000,,-3.7e-05,,1670054400000,BTCUSD_PERP,2022-12-03 12:00:00
59,binance,1670043600000,,-2.076e-05,,1670054400000,BTCUSD_PERP,2022-12-03 13:00:00
60,binance,1670047200000,,3.19e-06,,1670054400000,BTCUSD_PERP,2022-12-03 14:00:00
61,binance,1670050800000,,3.089e-05,,1670054400000,BTCUSD_PERP,2022-12-03 15:00:00
62,binance,1670054400000,,6.496e-05,,1670054400000,BTCUSD_PERP,2022-12-03 16:00:00
63,binance,1670058000000,,9.204e-05,,1670083200000,BTCUSD_PERP,2022-12-03 17:00:00
64,binance,1670061600000,,0.0001,,1670083200000,BTCUSD_PERP,2022-12-03 18:00:00
65,binance,1670065200000,,0.0001,,1670083200000,BTCUSD_PERP,2022-12-03 19:00:00
66,binance,1670068800000,,0.0001,,1670083200000,BTCUSD_PERP,2022-12-03 20:00:00
67,binance,1670072400000,,0.0001,,1670083200000,BTCUSD_PERP,2022-12-03 21:00:00
68,binance,1670076000000,,7.926e-05,,1670083200000,BTCUSD_PERP,2022-12-03 22:00:00
69,binance,1670079600000,,7.807e-05,,1670083200000,BTCUSD_PERP,2022-12-03 23:00:00
70,binance,1670083200000,,7.082e-05,,1670083200000,BTCUSD_PERP,2022-12-04 00:00:00
71,binance,1670086800000,,4.014e-05,,1670112000000,BTCUSD_PERP,2022-12-04 01:00:00
72,binance,1670090400000,,2.302e-05,,1670112000000,BTCUSD_PERP,2022-12-04 02:00:00
73,binance,1670094000000,,-9.36e-06,,1670112000000,BTCUSD_PERP,2022-12-04 03:00:00
74,binance,1670097600000,,-2.447e-05,,1670112000000,BTCUSD_PERP,2022-12-04 04:00:00
75,binance,1670101200000,,-6.372e-05,,1670112000000,BTCUSD_PERP,2022-12-04 05:00:00
76,binance,1670104800000,,-5.038e-05,,1670112000000,BTCUSD_PERP,2022-12-04 06:00:00
77,binance,1670108400000,,1.56e-06,,1670112000000,BTCUSD_PERP,2022-12-04 07:00:00
78,binance,1670112000000,,3.858e-05,,1670112000000,BTCUSD_PERP,2022-12-04 08:00:00
79,binance,1670115600000,,6.513e-05,,1670140800000,BTCUSD_PERP,2022-12-04 09:00:00
80,binance,1670119200000,,7.621e-05,,1670140800000,BTCUSD_PERP,2022-12-04 10:00:00
81,binance,1670122800000,,8.213e-05,,1670140800000,BTCUSD_PERP,2022-12-04 11:00:00
82,binance,1670126400000,,6.804e-05,,1670140800000,BTCUSD_PERP,2022-12-04 12:00:00
83,binance,1670130000000,,5.839e-05,,1670140800000,BTCUSD_PERP,2022-12-04 13:00:00
84,binance,1670133600000,,3.387e-05,,1670140800000,BTCUSD_PERP,2022-12-04 14:00:00
85,binance,1670137200000,,2.097e-05,,1670140800000,BTCUSD_PERP,2022-12-04 15:00:00
86,binance,1670140800000,,-1.381e-05,,1670140800000,BTCUSD_PERP,2022-12-04 16:00:00
87,binance,1670144400000,,-4.016e-05,,1670169600000,BTCUSD_PERP,2022-12-04 17:00:00
88,binance,1670148000000,,-4.402e-05,,1670169600000,BTCUSD_PERP,2022-12-04 18:00:00
89,binance,1670151600000,,-5.11e-05,,1670169600000,BTCUSD_PERP,2022-12-04 19:00:00
90,binance,1670155200000,,-5.359e-05,,1670169600000,BTCUSD_PERP,2022-12-04 20:00:00
91,binance,1670158800000,,-3.568e-05,,1670169600000,BTCUSD_PERP,2022-12-04 21:00:00
92,binance,1670162400000,,-3.014e-05,,1670169600000,BTCUSD_PERP,2022-12-04 22:00:00
93,binance,1670166000000,,3e-08,,1670169600000,BTCUSD_PERP,2022-12-04 23:00:00
94,binance,1670169600000,,3.123e-05,,1670169600000,BTCUSD_PERP,2022-12-05 00:00:00
95,binance,1670173200000,,2.785e-05,,1670198400000,BTCUSD_PERP,2022-12-05 01:00:00
96,binance,1670176800000,,3.203e-05,,1670198400000,BTCUSD_PERP,2022-12-05 02:00:00
97,binance,1670180400000,,5.674e-05,,1670198400000,BTCUSD_PERP,2022-12-05 03:00:00
98,binance,1670184000000,,3.59e-05,,1670198400000,BTCUSD_PERP,2022-12-05 04:00:00
99,binance,1670187600000,,1.305e-05,,1670198400000,BTCUSD_PERP,2022-12-05 05:00:00
100,binance,1670191200000,,-4.22e-05,,1670198400000,BTCUSD_PERP,2022-12-05 06:00:00
101,binance,1670194800000,,-2.631e-05,,1670198400000,BTCUSD_PERP,2022-12-05 07:00:00
102,binance,1670198400000,,5.8e-07,,1670198400000,BTCUSD_PERP,2022-12-05 08:00:00
103,binance,1670202000000,,6.714e-05,,1670227200000,BTCUSD_PERP,2022-12-05 09:00:00
104,binance,1670205600000,,0.0001,,1670227200000,BTCUSD_PERP,2022-12-05 10:00:00
105,binance,1670209200000,,0.0001,,1670227200000,BTCUSD_PERP,2022-12-05 11:00:00
106,binance,1670212800000,,0.0001,,1670227200000,BTCUSD_PERP,2022-12-05 12:00:00
107,binance,1670216400000,,0.0001,,1670227200000,BTCUSD_PERP,2022-12-05 13:00:00
108,binance,1670220000000,,0.0001,,1670227200000,BTCUSD_PERP,2022-12-05 14:00:00
