,address,changeInPrice,changeInPriceHourly,changeInPriceDaily,changeInPriceWeekly,currentPrice,decimals,marketCap,liquidMarketCap,name,rank,symbol,circulatingSupply,totalSupply,maxSupply,tokenVelocity,transactionVolume,uniqueAddresses,tradeVolume,specifications,blockchain_name,blockchain_slug,blockchain_symbol,blockchain_blockchainId,blockchain_icon
90,0xa9536b9c75a9e0fae3b56a96ac8edf76abc91978,99.23086006,-33.3215597,99.23086006,-9256.04335131,0.533721,18.0,640465200.0,347762261.00042903,DeFiChain,115,dfi,651580621.711398,1200000000.0,0.0,,,,2867444.0,0,DeFiChain,defichain,dfi,ca19932fd4de8a1c3c3e838cb5cfaed5,https://icons.amberdata.io/digital-assets/defichain_dfi.png
6,,23.24698984,6.208216,23.24698984,38.43586902,18.21,,18512867765.930023,2918377661.31274,Aptos,28,apt,160262364.706905,1016631947.60736,0.0,,,,2213801416.0,0,Aptos,aptos,apt,58e717a8339dfd19528a9e00bb3825d1,
45,,17.71280502,0.34286902,17.71280502,8.53779336,1.9,,1900000000.0,279658170.9346287,dYdX,129,dydx,147188511.01822564,1000000000.0,1000000000.0,,,,382267638.0,0,dYdX,dydx,dydx,c5ab4730ec058f97dad080d06f73dab4,
14,,16.23771546,2.20612545,16.23771546,13.13551507,2.43,,10436770529.28,521838526.464,Optimism,83,op,214748364.8,4294967296.0,4294967296.0,,,,597116083.0,0,Optimism,optimism,op,979790cdad4c055fd2d0552cb9c42f6a,
87,,14.83474962,-0.77544193,14.83474962,0.71865084,0.658137,,656386258.7285848,538253910.5277208,Mina Protocol,82,mina,817844780.840039,997339852.840039,0.0,,,,91707627.0,0,Mina Protocol,mina protocol,mina,c4790a77b09118756c3d1983b9271fe4,
13,,10.77893661,-1.50370157,10.77893661,7.33813539,5.52,,10851387837.6,2046275404.32,Filecoin,36,fil,370702066.0,1965831130.0,1965831130.0,,,,304828728.0,0,Filecoin,filecoin,fil,fed076adac386f80ab5f45699b72e992,https://icons.amberdata.io/digital-assets/filecoin_fil.png
52,,7.72652229,0.55437992,7.72652229,4.12512756,0.7063020000000001,,1412604000.0,555139589.173348,ImmutableX,78,imx,785980485.9300241,2000000000.0,2000000000.0,,,,33862599.0,0,ImmutableX,immutablex,imx,4c77df9940491b2c01177139044a2e55,
22,,7.37513918,1.61942772,7.37513918,10.29530221,6.06,,6060000000.0,2233678125.0,ApeCoin,32,ape,368593750.0,1000000000.0,1000000000.0,,,,404931074.0,0,ApeCoin,apecoin,ape,6ca62a214a1fceb0fc9892aa66902da0,https://icons.amberdata.io/digital-assets/apecoin_ape.png
31,0xe3c408bd53c31c085a1746af401a4042954ff740,5.19972383,2.5136209,5.19972383,8.7899133,0.57406,8.0,3444360000.0,344436000.0,STEPN,116,gmt,600000000.0,6000000000.0,6000000000.0,2.916666666666667e-08,4.0,117.0,324547608.0,0,STEPN,stepn,gmt,bebec0a16846a0da82468e3d457319bd,
53,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,5.00982772,0.49328454,5.00982772,-7.00136279,85.25,18.0,1364000000.0,1213732032.0109696,Aave,43,aave,14237325.88869173,16000000.0,16000000.0,0.000101375,37.0,1026.0,146686152.0,0,Aave,aave,aave,384c60cbce3538227fd28cf6b98fa22a,https://icons.amberdata.io/digital-assets/aave_aave.png
79,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,4.98055756,0.52794615,4.98055756,4.6922102,2.47,18.0,771936145.0692717,770148092.4346232,Synthetix Network,58,snx,311800847.1395236,312524755.088774,312524755.088774,3.0589576807393844e-06,16.0,729.0,57001032.0,0,Synthetix Network,synthetix network,snx,bc2ff2fe261de34a4d470b913f52e8ec,
95,,4.84299435,0.21749473,4.84299435,19.71725125,2.88,,576000000.0,466737122.88,BTSE Token,89,btse,162061501.0,200000000.0,200000000.0,,,,286049.0,0,BTSE Token,btse token,btse,abba46a0a32b17e03efe0cc2e7ff75bc,https://icons.amberdata.io/digital-assets/btsetoken_btse.png
54,,4.7197635,2.0768738,4.7197635,13.79986354,0.405864,,1288618200.0,1031362412.0186425,Fantom,49,ftm,2541152731.01,3175000000.0,3175000000.0,,,,404522526.0,0,Fantom,fantom,ftm,682db82277b78a6ac272dbc60fe605f0,https://icons.amberdata.io/digital-assets/fantom_ftm.png
75,,4.22083246,0.24210383,4.22083246,8.02370257,0.8423860000000001,,842386000.0,471736168.42925125,NEXO,91,nexo,560000010.0064,1000000000.0,1000000000.0,,,,13513402.0,0,NEXO,nexo,nexo,f93d7a3799875365ee174cbf7c0c5ab9,https://icons.amberdata.io/digital-assets/nexo_nexo.png
32,,4.17399801,0.60829912,4.17399801,13.29413189,0.06669299999999999,,3334650000.0,1688792629.6995935,Hedera,38,hbar,25321887300.0104,50000000000.0,50000000000.0,,,,77340444.0,0,Hedera,hedera,hbar,b03d042ec2cee0ef9e1c498c42a912de,
9,,4.07383182,1.02068766,4.07383182,-0.42090417,24.21,6.0,13056754517.68043,8990171481.769781,Solana,10,sol,371341242.534894,539312454.2618929,0.0,,,,1307496944.0,0,Solana,solana,sol,052c3c21c027fa269bad3a43219a2b1e,https://icons.amberdata.io/digital-assets/solana_sol.png
39,0x4a220e6096b25eadb88358cb44068a3248254675,4.03203751,-0.43254297,4.03203751,5.90048571,157.04,18.0,2294745900.72,2284019717.5928645,Quant,31,qnt,14544190.76409109,14612493.0,14612493.0,0.0001894953859002704,76.0,1507.0,92037892.0,0,Quant,quant,qnt,8d0f46a4aa160f205eb42e39eb258a5c,https://icons.amberdata.io/digital-assets/quant_qnt.png
99,,3.99884522,0.5021328,3.99884522,6.09039218,0.054113999999999995,,541140000.0,272158634.654976,Oasis Network,136,rose,5029357184.0,10000000000.0,10000000000.0,,,,54658205.0,0,Oasis Network,oasis network,rose,c23b35835da4fed5457336eab00fc9b8,https://icons.amberdata.io/digital-assets/oasisnetwork_rose.png
63,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,3.97964732,0.45403724,3.97964732,8.96461763,10.5,18.0,1048141333.2029997,769259045.1214641,Frax Share,59,fxs,73262766.2020442,99822984.1145714,99822984.1145714,1.4706032012778832e-05,21.0,923.0,35379712.0,0,Frax Share,frax share,fxs,51d6e878f1c4fe228398d4a0d6d167ec,
50,,3.79185293,0.68271215,3.79185293,-2.05363006,14.65,,1465000000.0,377724368.47636855,Ethereum Name Service,105,ens,25783233.34309683,100000000.0,100000000.0,,,,54340378.0,0,Ethereum Name Service,ethereum name service,ens,51d9e8c979b021bde44bebbd4326cc9a,
