,address,changeInPrice,changeInPriceHourly,changeInPriceDaily,changeInPriceWeekly,currentPrice,decimals,marketCap,liquidMarketCap,name,rank,symbol,circulatingSupply,totalSupply,maxSupply,tokenVelocity,transactionVolume,uniqueAddresses,tradeVolume,specifications,blockchain_name,blockchain_slug,blockchain_symbol,blockchain_blockchainId,blockchain_icon
6,,23.24698984,6.208216,23.24698984,38.43586902,18.21,,18512867765.930023,2918377661.31274,Aptos,28,apt,160262364.706905,1016631947.60736,0.0,,,,2213801416.0,0,Aptos,aptos,apt,58e717a8339dfd19528a9e00bb3825d1,
94,,-0.75105407,1.4665033,-0.75105407,29.05214597,0.627351,,604703935.0238652,160262906.30917856,WEMIX,200,wemix,255459712.838871,963900487.962664,0.0,,,,3887395.0,0,WEMIX,wemix,wemix,83924c2a130b40c5a467a23ce1fecc5a,
33,0xf5d669627376ebd411e34b98f19c868c8aba5ada,3.00348746,2.75368629,3.00348746,20.59327389,11.96,18.0,3229200000.0,1373033750.8450074,Axie Infinity,41,axs,114802153.08068624,270000000.0,270000000.0,,,1.0,422116083.0,0,Axie Infinity,axie infinity,axs,f7f9c880552d7fd3f98daf7ba92a8098,https://icons.amberdata.io/digital-assets/axieinfinity_axs.png
95,,4.84299435,0.21749473,4.84299435,19.71725125,2.88,,576000000.0,466737122.88,BTSE Token,89,btse,162061501.0,200000000.0,200000000.0,,,,286049.0,0,BTSE Token,btse token,btse,abba46a0a32b17e03efe0cc2e7ff75bc,https://icons.amberdata.io/digital-assets/btsetoken_btse.png
55,,2.12168194,0.30704708,2.12168194,19.71057099,46.11,,1259509126.5551353,291197005.2480828,Chia,125,xch,6315267.95159581,27315313.9569537,0.0,,,,7615624.0,0,Chia,chia,xch,242398955ac4ba8d8c7d3260c2abdbd7,
85,,0.79458868,0.39761431,0.79458868,19.6446009,0.176785,,686878685.6018645,224666340.69549453,NuCypher,157,nu,1270845041.6918547,3885390081.7482495,3885390081.7482495,,,,6209599.0,0,NuCypher,nucypher,nu,d52b31aa67cb776b04e089ab2dcaeaee,https://icons.amberdata.io/digital-assets/nucypher_nu.png
36,,2.31717933,1.94631861,2.31717933,15.73651398,2.49,,2490000000.0,2081834781.1768954,Lido DAO,34,ldo,836078225.372247,1000000000.0,1000000000.0,,,,230092344.0,0,Lido DAO,lido dao,ldo,9fc99504d50fb36f26d01c8f5aa57ea3,
81,0xb4efd85c19999d84251304bda99e90b92300bd93,2.45976352,0.96374648,2.45976352,14.89888297,38.4,18.0,733955061.7764096,733955061.7764096,Rocket Pool,63,rpl,19113413.067094,19113413.067094,19113413.067094,4.551777314423282e-06,2.0,78.0,19535330.0,0,Rocket Pool,rocket pool,rpl,a4e586b5bb1ec47acc9a1dacad76fcee,https://icons.amberdata.io/digital-assets/rocketpool_rpl.png
54,,4.7197635,2.0768738,4.7197635,13.79986354,0.405864,,1288618200.0,1031362412.0186425,Fantom,49,ftm,2541152731.01,3175000000.0,3175000000.0,,,,404522526.0,0,Fantom,fantom,ftm,682db82277b78a6ac272dbc60fe605f0,https://icons.amberdata.io/digital-assets/fantom_ftm.png
32,,4.17399801,0.60829912,4.17399801,13.29413189,0.06669299999999999,,3334650000.0,1688792629.6995935,Hedera,38,hbar,25321887300.0104,50000000000.0,50000000000.0,,,,77340444.0,0,Hedera,hedera,hbar,b03d042ec2cee0ef9e1c498c42a912de,
